complex_text,word_count,char_count,simplified_text,baseline_text,lora_text,cosine_similarity
"Krivoshein De Canese, Natalia, Carlos Martinez Gamba, and Feliciano Acosta Alcaraz, eds. . Tet˜agua remimombe’u: Cuentos populares paraguayos. Asunci´on, Paraguay: Servilibro.",21,175,"Tetagua Remimombe'u: Paraguayan Folk Tales. This is a book of stories from Paraguay, edited by Natalia Krivoshein De Canese, Carlos Martinez Gamba, and Feliciano Acosta Alcaraz.","Krivoshein De Canese, Natalia, Carlos Martinez Gamba, and Feliciano Acosta Alcaraz, eds. Tet agua remimombe’u: Cuentos populares paraguayos. Asun on, Paraguay: Servilibro.",rewrite for a 10-12 year old,0.07735816
"*This work was funded in part by a grant from the European Union to the Centro Interdipartimentale dei servizi Linguistici e Audiovisivi, Istituto Universitario Orientale di Napoli, Naples. I would like to thank Jocelyn Vincent for her support. Carmen Paciﬁco participated in some of the work reported here.",48,308,This project was helped by a grant from the European Union. I'd like to thank Jocelyn Vincent for her help. Carmen Paciﬁco worked on some parts of this project.,"* This work was funded in part by a grant from the European Union to the Centro Interdipartimentale dei servizi Linguistici e Audiovisivi, Istituto Universitario Orientale di Napoli, Naples. Carmen Pacifico participated in some of the work reported here.",rewrite for a 10-12 year old,-0.021225236
"Russian scrambling, or constituent reordering, while receiving less attention than scrambling in, say, German or Japanese, has been investigated by a number of researchers . Here, we discuss possible derivations of both SVO and OVS sentences containing quantifiers in subject and object position, and the corresponding consequences for scope interpretation. We assume that in principle, the scope configuration can be affected by reconstruction as well as by covert QR. In this section, we lay out the logical possibilities of how inverse scope can be derived via reconstruction or via covert QR. In section 2.3, we will address how these possibilities relate to the role of IS in Russian.",108,689,"Russian sentence structure, or how words are arranged in a sentence, is important to study. Many researchers have looked into how Russian sentences are structured. Here, we'll talk about how sentences with special words (quantifiers) in the subject and object positions can be arranged in different ways, and how this affects how we understand the sentence. We think that the way the sentence is structured can be changed in two ways: one is by using a hidden rule, and the other is by using a special rule that is not spoken. In this section, we'll explain the different ways this can happen. Later, we'll discuss how these ways relate to the role of a special word (IS) in Russian.","Russian scrambling, or constituent reordering, while receiving less attention than scrambling in, say, German or Japanese, has been investigated by a number of researchers. Here, we discuss possible derivations of both SVO and OVS sentences containing quantifiers in subject and object position, and the corresponding consequences for scope interpretation. We assume that in principle, the scope configuration can be affected by reconstruction as well as by covert QR. In this section, we lay out the logical possibilities of how inverse scope can be derived via reconstruction or via covert QR. In section 2.3, we will address how these possibilities relate to the role of IS in Russian.","We discuss possible derivations of both SVO and OVS sentences containing quantifiers in subject and object position, and the corresponding consequences for scope interpretation.",0.7352317
"To sum up, we find a statistically significant preference for the surface scope reading with neutral prosody, for both SVO and OVS word orders, and with both odin and dva. Contrastive stress on the indefinite determiner facilitates the inverse scope reading of OVS sentences, but not",46,283,"We found that most people choose the surface scope reading when the words are arranged in a simple way. This is true for both types of word order and for two different ways of saying the same thing. When we add a special emphasis to the word ""a"" or ""an"", it helps people choose the inverse scope reading for some sentences.",neutral prosody.,SVO sentences.,0.51064754
"Turning to the inverse scope reading of the SVO sentence in (5a), there are in principle two ways to derive it: by reconstructing the subject to its position within the VP (5c), or by covertly raising the object to a TP-adjoined position above the subject (5d).",46,261,There are two ways to understand the sentence in (5a). One way is to move the subject to its correct position within the verb phrase (5c). The other way is to secretly move the object to a position above the subject in the sentence (5d).,"In the inverse scope reading of the SVO sentence in (5a), there are in principle two ways to derive it: by reconstructing the subject to its position within the VP (5c), or by covertly raising the object to a TP-adjoined position above the subject (5d).","If the subject is in the VP, then the object is in the TP.",0.5080233
"‘Who slept on the ﬂoor? CT ﬂoor-SUP P´eterF Peter aludt, slept ´es and (lehet, perhaps hogy) that sehol nowhere m´ashol other place nem not is too aludt slept senki nobody m´as. diﬀerent ‘It was Peter who slept ont he ﬂoor, but (it is possible that) nobody slept anywhere else.",49,277,Who slept on the floor? Peter slept on the floor. Maybe nobody slept anywhere else.,"P eterF Peter aludt, slept es and (lehet, perhaps hogy) that sehol nowhere m ashol other place nem not is too aludt slept senki nobody m as.","'It was Peter who slept on the floor, but (it is possible that) nobody slept anywhere else.",0.7530509
"Extrapolating from Chafe, these sentences are about rice and noses, not ﬁelds and elephants. In any case they lack any contrast associated with the ‘as for. . . ’ paraphrase and therefore constitute — according to Chafe — a category of their own. Krifka gives the following English examples:",49,291,"These sentences are about rice and noses, not fields and elephants. They don't have the same kind of contrast as other sentences. So, they belong to a special group. Here are some English examples:",Rice and noses are a category of their own. Krifka gives the following examples:,"These sentences are about rice and noses, not fields and elephants. In any case they lack any contrast associated with the ‘as for. . ’ paraphrase and therefore constitute — according to Chafe — a category of their own.",0.95358896
"Here again, as will be seen, the head shake is placed over ‘heated’ rather than the auxiliary verb to which the negative particle is attached. In Example III.4, which comes from SMC, the speaker, M, is describing one of the odd characters that used to be seen in the town when he was child. He describes someone known as ‘Runny’ Lee, who was a Catholic priest who used to run after small children, pick them up and kiss them, and then let them go:",84,447,"The head shake is used to show ""heated"" emotions, not with the verb that has the negative word attached. For example, in a story about a man named M, he talks about a weird person named ""Runny"" Lee who used to be a priest. This priest would chase after small kids, pick them up, give them a kiss, and then let them go.","The head shake is placed over heated rather than the auxiliary verb to which the negative particle is attached. In Example III.4, the speaker, M, is describing one of the odd characters that used to be seen in the town when he was child. He describes someone known as ‘Runny’ Lee, who was a Catholic priest who used to run after small children, pick them up and kiss them, and then let them go.","‘Runny’ Lee was a Catholic priest who ran after small children, pick them up and kiss them, and then let them go.",0.5622901
"We are grateful to two anonymous reviewers for their insightful comments and suggestions. Thanks to the audiences of WCCFL 32, FASL 23, FASL 24, the University of Chicago Linguistics Colloquium series, and the UIUC Linguistic Seminar series, where parts of this article were presented. This study was funded in part by a University of Illinois Campus Research Board grant to Tania Ionin.",62,387,"We want to say thank you to two people who helped us with our work. They gave us good ideas and suggestions. We also want to thank the people who listened to our ideas at some special talks we gave. We talked at WCCFL 32, FASL 23, FASL 24, the University of Chicago, and the University of Illinois. This project was helped by a special grant from the University of Illinois.",Tania Ionin is a professor of Linguistics at the University of Illinois at Urbana-Champaign.,rewrite for a 10-12 year old: We are grateful to two anonymous reviewers for their insightful comments and suggestions.,0.19828653
"5.1. THE STATUS OF THE PRINCIPLE. Maintaining that the RP is a universal principle means that individual languages or dialects cannot differ with respect to whether they obey it; crucially ambiguous factors of the appropriate sort would always resolve feature conflicts, and (in the absence of principled res- olution) factors not satisfying the conditions in 43 would always fail to resolve",61,391,"The Principle's Status.

The principle is very important. It says that languages or dialects can't be different in how they follow it. This means that confusing things will always help solve problems, and if something doesn't fit the rules, it won't help solve problems.",5.1. THE STATUS OF THE PRINCIPLE,a conflict.,0.10079956
"We will write SCT+F for a sentence containing CT+F (analogously for F+F, F etc.), and ]O, ]F and ]CT for its ordinary meaning, F-, and CT-alternatives, respectively. What to do with the CT-alternatives? That is, how are they interpreted? For the purpose of this paper, (7) will serve as our sole rule:",52,301,"We'll use special abbreviations for certain sentences. For example, SCT+F means a sentence with CT+F. We'll also use ]O, ]F, and ]CT to mean different things. 

What do we do with the CT-alternatives? How do we understand them? For this paper, we'll use one simple rule:","SCT+F for a sentence containing CT+F, and ]O, ]F and ]CT for its ordinary meaning, F-, and CT-alternatives, respectively.","SCT+F for a sentence containing CT+F, and ]O, ]F and ]CT for its ordinary meaning, F-, and CT-alternatives, respectively.",0.86372006
"x ̸= ‘the cat’. Assuming that the speaker fed the cat only, none of these is ‘safely claimable’, either, so (28) appears to be met in both (30a) and (30b):",30,155,"The speaker is saying that the cat only gets food from them. Because of this, none of the options are correct. This means that both situations (30a) and (30b) seem to match the condition (28).",x = 'the cat',(a).,0.28430718
